mean_err,jerk,success,misalign,reaction,method,delta,trial
0.02905897644172727,0.0008777773183071518,0.7783333333333333,0.0,7.142857142857143,Naive-Async,0,43
0.02905897644172727,0.0008777773183071518,0.7783333333333333,0.0,7.142857142857143,VLASH,0,43
0.03924403626305284,0.0011850350998588411,0.7283333333333334,0.0,9.466666666666667,Sync,0,44
0.03924403626305284,0.0011850350998588411,0.7283333333333334,0.0,9.466666666666667,Naive-Async,0,44
0.03924403626305284,0.0011850350998588411,0.7283333333333334,0.0,9.466666666666667,VLASH,0,44
0.03253793994791247,0.0011135093322942409,0.7733333333333333,0.0,7.533333333333333,Sync,0,45
0.040214548953661444,0.0011135093322942409,0.7333333333333333,0.0,9.133333333333333,Naive-Async,0,45
0.040214548953661444,0.0011135093322942409,0.7333333333333333,0.0,9.133333333333333,VLASH,0,45
0.02732222673928576,0.0009460509285543884,0.7766666666666666,0.0,6.866666666666666,Sync,0,46
0.02897186717356597,0.0009460509285543884,0.7633333333333333,0.0,7.4,Naive-Async,0,46
0.02897186717356597,0.0009460509285543884,0.7633333333333333,0.0,7.4,VLASH,0,46
0.021907087029107725,0.0007478226892466542,0.8116666666666666,0.0,6.5,Sync,0,47
0.023788906179859876,0.0007478226892466542,0.7983333333333333,0.0,7.071428571428571,Naive-Async,0,47
0.023788906179859876,0.0007478226892466542,0.7983333333333333,0.0,7.071428571428571,VLASH,0,47
0.03322547156853445,0.001048061452366688,0.7716666666666666,0.0,7.4,Sync,0,48
0.03322547156853445,0.001048061452366688,0.7716666666666666,0.0,7.4,Naive-Async,0,48
0.03322547156853445,0.001048061452366688,0.7716666666666666,0.0,7.4,VLASH,0,48
0.03467776345431209,0.0010754997420489155,0.7716666666666666,0.0,7.533333333333333,Sync,0,49
0.039169892112436544,0.0010754997420489155,0.745,0.0,8.6,Naive-Async,0,49
0.039169892112436544,0.0010754997420489155,0.745,0.0,8.6,VLASH,0,49
0.03097694152672266,0.0010597643458576775,0.775,0.0,7.2,Sync,1,0
0.03845735036864879,0.001169825904280541,0.7416666666666667,0.00534107253169541,8.066666666666666,Naive-Async,1,0
0.03375167339654952,0.0010597643458576719,0.75,0.0,8.066666666666666,VLASH,1,0
0.030281179965441916,0.0010438620922777922,0.7633333333333333,0.0,7.0,Sync,1,1
0.04188101444497618,0.00115296197582046,0.7216666666666667,0.005287820150832479,8.466666666666667,Naive-Async,1,1
0.03717207137230743,0.0010438620922777883,0.7333333333333333,0.0,8.466666666666667,VLASH,1,1
0.03684813062589513,0.0011965562926383629,0.7566666666666667,0.0,8.133333333333333,Sync,1,2
0.05030427570101288,0.0013177267474479859,0.7116666666666667,0.0060529510473151076,9.333333333333334,Naive-Async,1,2
0.04498134579000128,0.0011965562926383585,0.7233333333333334,0.0,9.333333333333334,VLASH,1,2
0.03160627040273007,0.001139979465957584,0.7783333333333333,0.0,9.25,Sync,1,3
0.0419977309831558,0.0012611985128954594,0.7433333333333333,0.005610513603909601,8.0625,Naive-Async,1,3
0.03696478491683419,0.00113997946595758,0.7566666666666667,0.0,8.0625,VLASH,1,3
0.0305507268591259,0.0009360526300678206,0.7833333333333333,0.0,7.2,Sync,1,4
0.03484742081920265,0.0010331991422452243,0.78,0.004625270457871188,7.333333333333333,Naive-Async,1,4
0.030677096537825365,0.0009360526300678137,0.785,0.0,7.333333333333333,VLASH,1,4
0.025856315207759308,0.0008483720594062307,0.8116666666666666,0.0,5.133333333333334,Sync,1,5
0.031576305686463454,0.0009376078618947006,0.7666666666666667,0.0042937547580537095,6.066666666666666,Naive-Async,1,5
0.02769478616462546,0.0008483720594062251,0.795,0.0,6.066666666666666,VLASH,1,5
0.027507491968335445,0.0009763854048825165,0.7933333333333333,0.0,6.2,Sync,1,6
